Website,Partial Query,SecFlag,Algorithm,Received Address,Status,Note
www.jobs.af,.,1,8,192.115.106.35#53(192.115.106.35),OK,". to af: The following NS name(s) were found in the authoritative NS RRset, but not in the delegation NS RRset (i.e., in the . zone): pch.nic.af, gransy.nic.af"
www.jobs.af,af.,1,8,198.97.190.53#53(h.root-servers.net),OK,"af zone: The server(s) were not responsive to queries over UDP. (2a03:dd40:3::93, 2a03:dd40:3::111)
af/DNSKEY: No response was received from the server over UDP (tried 12 times). (185.17.236.111, UDP_-_NOEDNS_)
af/DNSKEY: No response was received from the server over UDP (tried 4 times). (185.17.236.111, UDP_-_EDNS0_512_D_K)"
www.jobs.af,14P8SNH9CB8QBM5PMO13K191J59JR2IK.af.,1,8,185.17.236.93#53(ns.cocca.fr),DelegationInsecure,
www.jobs.af,jobs.af.,0,-1,205.251.199.120#53(ns-1912.awsdns-47.co.uk),Error,"amazonaws.com to ap-south-1.elb.amazonaws.com: The server(s) for the parent zone (amazonaws.com) responded with a referral instead of answering authoritatively for the DS RR type. (205.251.192.27, 205.251.195.199, 2600:9000:5300:1b00::1, 2600:9000:5303:c700::1, UDP_-_EDNS0_4096_D_K)"
www.afghantelecom.af,.,1,8,192.115.106.35#53(192.115.106.35),OK,". to af: The following NS name(s) were found in the authoritative NS RRset, but not in the delegation NS RRset (i.e., in the . zone): pch.nic.af, gransy.nic.af
. to af: The following NS name(s) were found in the delegation NS RRset (i.e., in the . zone), but not in the authoritative NS RRset: ns.anycast.nic.af, ns.coccaregistry.org"
www.afghantelecom.af,af.,1,8,193.0.14.129#53(k.root-servers.net),OK,"af zone: The server(s) were not responsive to queries over UDP. (2a03:dd40:3::93, 2a03:dd40:3::111)
af/DNSKEY: The response had an invalid RCODE (REFUSED). (185.17.236.111, UDP_-_EDNS0_4096_D_K, UDP_-_EDNS0_512_D_K)
afghantelecom.af/DS: No response was received from the server over UDP (tried 12 times). (185.17.236.111, UDP_-_NOEDNS_)"
www.afghantelecom.af,E6S72L2GEO3TI2PIQQ55HKNTHK7PHCRU.af.,1,8,185.17.236.93#53(ns.cocca.fr),DelegationInsecure,"www.afghantelecom.af/A: The server responded with no OPT record, rather than with RCODE FORMERR. (64.150.179.21, 64.150.179.106, UDP_-_EDNS0_4096_D_K)"
www.afghantelecom.af,afghantelecom.af.,0,-1,64.150.179.21#53(ns1.codero.com),NO,
www.roshan.af,.,1,8,192.115.106.35#53(192.115.106.35),OK,". to af: The following NS name(s) were found in the authoritative NS RRset, but not in the delegation NS RRset (i.e., in the . zone): pch.nic.af, gransy.nic.af
. to af: The following NS name(s) were found in the delegation NS RRset (i.e., in the . zone), but not in the authoritative NS RRset: ns.anycast.nic.af, ns.coccaregistry.org"
www.roshan.af,af.,1,8,202.12.27.33#53(m.root-servers.net),DelegationInsecure,
www.roshan.af,7MKLG5N24DNQ148OI93DA28P3ANT2EN0.af.,1,8,185.17.236.111#53(ns.coccaregistry.org),DelegationInsecure,"af to roshan.af: The following NS name(s) were found in the authoritative NS RRset, but not in the delegation NS RRset (i.e., in the af zone): pdns6.ultradns.co.uk, pdns5.ultradns.info, pdns4.ultradns.org, pdns1.ultradns.net, pdns3.ultradns.org, pdns2.ultradns.net                                                                                                                          af to roshan.af: The following NS name(s) were found in the delegation NS RRset (i.e., in the af zone), but not in the authoritative NS RRset: udns1.ultradns.net, udns2.ultradns.net"
www.roshan.af,roshan.af.,0,-1,204.69.234.1#53(udns1.ultradns.net),NO,
www.noa.al,.,1,8,192.115.106.35#53(192.115.106.35),OK,
